mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4.646302604675293,0.059999531210466,0.07367830276489258,0.0019101854471357173,5,{'max_features': 5},0.734641006661732,0.7361213915618061,0.725018504811251,0.7397260273972602,0.7534246575342466,0.7377863175932592,0.009208714926809565,10
5.433430862426758,0.07536362833632435,0.07218565940856933,0.0038411107500017985,6,{'max_features': 6},0.731680236861584,0.7420429311621022,0.732420429311621,0.7437985931136616,0.7412069603850425,0.7382298301668023,0.005119774898469083,9
6.246796894073486,0.10305568303899808,0.08739886283874512,0.013350589395205227,7,{'max_features': 7},0.7401924500370096,0.7446336047372317,0.7405625462620281,0.7463902258422807,0.7478711588300629,0.7439299971417226,0.0030786207349478103,2
7.377901601791382,0.08112551656802712,0.07811355590820312,6.920745586962992e-05,8,{'max_features': 8},0.7438934122871946,0.7413027387120651,0.7401924500370096,0.7412069603850425,0.7537948907811921,0.7440780904405008,0.005009879863595479,1
8.389171314239501,0.11449302192015216,0.0780756950378418,0.0017204729873221314,9,{'max_features': 9},0.730940044411547,0.7383419689119171,0.7376017764618801,0.7467604590892262,0.7567567567567568,0.7420802011262655,0.008893141840387095,5
9.718816947937011,0.1397925693451979,0.08707575798034668,0.00842991227366898,10,{'max_features': 10},0.7446336047372317,0.7398223538119911,0.7301998519615099,0.7486116253239541,0.7515734912995187,0.7429681854268411,0.0075046641569756194,3
11.715777921676636,0.7620067254263632,0.09793992042541504,0.00866786496779092,11,{'max_features': 11},0.7342709104367136,0.7409326424870466,0.7361213915618061,0.7397260273972602,0.7545353572750833,0.741117265831582,0.007125252978791645,7
13.822643327713013,0.41354805519775184,0.09626431465148926,0.001791861483765449,12,{'max_features': 12},0.7342709104367136,0.7442635085122131,0.7361213915618061,0.7471306923361718,0.7482413920770085,0.7420055789847826,0.005739323247802115,6
15.213318824768066,0.21806468951895921,0.0958329200744629,0.012098122857167168,13,{'max_features': 13},0.7376017764618801,0.7405625462620281,0.7387120651369357,0.7452795261014439,0.7486116253239541,0.7421535078572484,0.004161062767300037,4
13.133554792404174,2.3274649155228158,0.06927323341369629,0.019041150406303973,14,{'max_features': 14},0.7405625462620281,0.7383419689119171,0.725018504811251,0.740836727138097,0.7604590892262125,0.7410437672699012,0.011325527953942377,8
